expertUID,name,email,mobile,dob,gender,address,languages,services,experience,organisation,education,digitalProwess,disabilities,ageRange,isAllDetailsProvided,Rating
MYF7063ZQH566,Avidosa Vaisakhi,A1idosaK@gmail.com,9865139040,11-Jan-1990,Female,203Ú Dulverton town,"Marathi, Kannada","Assessment, Early Intervention",25,TF School,Post graduation in special education,2,"Autism Spectrum Disorder (ASD), Attention Deficit Hyperactivity Disorder (ADHD), Intellectual Disability (ID) / Mental Retardation (MR), Down Syndrome (DS), SLD: Dyslexia, SLD: Dysgraphia, SLD: Dyscalculia",7 - 18,,2.56
CDX7151VEM847,Barsati Sandipa,B4rsa@gmail.com,8722905902,31-Mar-1981,Male,158 Ulverstone town,"Marathi, Kannada","Behaviour Analysis & Support, Remedial Instruction, Speech Therapy",29,ZJ Org,Msw specialized in Medical Psychiatry,3,"Autism Spectrum Disorder (ASD), Attention Deficit Hyperactivity Disorder (ADHD), Global Developmental Delay, Down Syndrome (DS), SLD: Dyslexia",2 - 19,,4.52
HTM1905IQB905,Debasis Sundhararajan,Deba9is@gmail.com,8037695304,6-Feb-1972,Male,95ç Port Arthur city,"Hindi, Telugu","Screening, Braille Literacy",6,FW School,Masters in Psycholgy,2,"Blindness, Autism Spectrum Disorder (ASD), Attention Deficit Hyperactivity Disorder (ADHD)",2 - 13,,2.02
DTV9489IRV128,Devasru Subramanyan,Dev8sru@gmail.com,9707222968,19-Jun-1991,Female,254f Washington town,"Hindi, Bengali","Behaviour Analysis & Support, Special Education - STEM, Special Education - Language",14,YX School,M.sc in psychology (Clinical),1,Autism Spectrum Disorder (ASD),2 - 15,,2.72
AGY8922ZHA896,Dharmadhrt Ramila,Dha4mad@gmail.com,9181172949,25-May-1988,Female,147I Corona city,"Marathi, Bengali",Assessment,17,YA Co,MSW specialized in Medical Psychiatry,2,"Autism Spectrum Disorder (ASD), Attention Deficit Hyperactivity Disorder (ADHD), Intellectual Disability (ID) / Mental Retardation (MR)",4 - 9,,4.7
PIV9969PEQ985,Dhritiman Salim,Dh6iti@gmail.com,9938206495,23-Aug-1984,Male,138 Ponteland city,"Hindi, Malay","Screening, Family Training, Developmental Psychology",20,QB School,"BA in psychology honours, MSc in psychology",3,"Blindness, Autism Spectrum Disorder (ASD), Attention Deficit Hyperactivity Disorder (ADHD)",0 - 18,,4.26
LZX6910OAT976,Gopa Trilochana,Gop9l@gmail.com,8964422118,26-Feb-1979,Female,151R Horwich town,"German, Tamil","Counselling, O&M, Speech Therapy, Occupational Therapy",20,VV Org,Doing my BSC Psychology in distance education,4,"Speech Impairment, Autism Spectrum Disorder (ASD), Attention Deficit Hyperactivity Disorder (ADHD), Cerebral Palsy (CP), Intellectual Disability (ID) / Mental Retardation (MR), Global Developmental Delay, Down Syndrome (DS), SLD: Dyslexia, SLD: Dysgraphia, SLD: Dyscalculia",8 - 13,,2.45
ZPQ2413OSQ443,Hardeep Suksma,H6rdee@gmail.com,8773477943,1-Mar-1992,Male,636 Bracknell town,"English, German, Tamil","Assessment, Remedial Instruction, Sensory integration, Physiotherapy",19,AV Org,Msc clinical psychology,4,"Autism Spectrum Disorder (ASD), Attention Deficit Hyperactivity Disorder (ADHD)",6 - 10,,3.36
ROK5883JQT102,Jayadev Mitali,Jaya9@gmail.com,8312791470,20-Jan-1986,Female,110= Monticello city,"English, Oriya","Behaviour Analysis & Support, Speech Therapy, Special Education - Language",13,UG Org,Post graduation in Applied Psychology,2,"Autism Spectrum Disorder (ASD), Attention Deficit Hyperactivity Disorder (ADHD), Intellectual Disability (ID) / Mental Retardation (MR), Down Syndrome (DS), SLD: Dyslexia, SLD: Dysgraphia, SLD: Dyscalculia",2 - 15,,3.09
QFU3961DFS238,Jitendra Choudhary,Jit6n@gmail.com,8985715708,22-Aug-1994,Female,106 Stanley town,"German, Telugu","Assessment, Remedial Instruction, Speech Therapy, Special Education - Language",16,KX Org,Msc Applied Psychology,3,"Autism Spectrum Disorder (ASD), Attention Deficit Hyperactivity Disorder (ADHD), Intellectual Disability (ID) / Mental Retardation (MR), SLD: Dyslexia, SLD: Dysgraphia, SLD: Dyscalculia",6 - 15,,3.55
OFG3148PDG770,Kalyanavata Veerender,Kal0an@gmail.com,9028969038,6-Jan-1975,Male,28³ Redding city,"Malyalam, Bengali","Screening, Sensory integration",25,VF School,"Msc, Clinical psychology ",4,"Autism Spectrum Disorder (ASD), Attention Deficit Hyperactivity Disorder (ADHD), Down Syndrome (DS), SLD: Dyslexia, SLD: Dysgraphia, SLD: Dyscalculia",4 - 19,,4.79
NBC6686CUU212,Naveen Tikaram,Na6een1@gmail.com,9158709310,22-Mar-1979,Male,"169, Vicksburg town","Hindi, Bengali","Behaviour Analysis & Support, Early Intervention",35,LP Co,MSC Psychology,4,"Autism Spectrum Disorder (ASD), Attention Deficit Hyperactivity Disorder (ADHD), Intellectual Disability (ID) / Mental Retardation (MR)",4 - 18,,3.29
TQP2582LJQ241,Vijai Sritharan,Vi2ai_Sr@gmail.com,9101909090,8-Aug-1972,Male,53 Aspen town,"German, Oriya","Assessment, Art Therapy, Special Education - Language",4,NO Co,M.sc in psychology (Clinical),3,"Autism Spectrum Disorder (ASD), Attention Deficit Hyperactivity Disorder (ADHD), Intellectual Disability (ID) / Mental Retardation (MR), Global Developmental Delay, Down Syndrome (DS), SLD: Dyslexia, SLD: Dysgraphia, SLD: Dyscalculia",5 - 13,,4.68
